FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Genesis Pipeline USA,complete,Submittal,20220418-8034,04/18/2022,04/18/2022,"Genesis Pipeline USA, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"22,047,941","18,110,386","14,123,898","436,210","40,425,294",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/genesis_pipeline_usa_form6
07/26/2022,Heartland Pipeline,complete,Submittal,20220416-8006,04/16/2022,04/16/2022,Heartland Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"8,975,729","4,989,902.00","211,350",,"5,991,484",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/heartland_pipeline_form6
07/26/2022,Hess Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,IMTT-Pipeline,complete,Submittal,20220415-8062,04/15/2022,04/15/2022,IMTT-PIPELINE submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"3,204,118","4,612,117","1,365,885",,"26,294,375",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/imtt_pipeline_form6
07/26/2022,Interstate Storage & Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Jayhawk Pipe Line,complete,Submittal,20220504-8006,05/04/2022,05/04/2022,"Jayhawk Pipeline, L.L.C. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"36,353,665","29,205,127","3,742,772",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/jayhawk_pipe_line_form6
07/26/2022,Jolliet Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,NuStar Pipeline Operating Partnership,complete,Submittal,20220404-8007,04/04/2022,04/04/2022,"NuStar Pipeline Operating Partnership, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"185,961,925","97,197,844","14,060,268",,"75,181,304",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/nustar_pipeline_operating_partnership_form6
07/26/2022,Kenai Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kiantone Pipeline,complete,Submittal,20220408-8000,04/08/2022,04/08/2022,Kiantone Pipeline Corporation submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"93,642,527","20,722,936","1,601,605","977,467",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kiantone_pipeline_form6
