ObjectKey,FetchDate,Date,Year,Passengers
6967b8d6126c7b0af262662af28658f1ba20e2f1db19c6d5b2d30928a06c8c32,05/31/2022,4/14/2022,2022,"2,337,501"
d5f7df446d13041a917bd7d769d0df22d30018053e00f4d5aabe492803c0a124,05/31/2022,4/14/2022,2021,"1,491,435"
cae23608d4d28da96c42dd164ec62c492a367270f926eeaa6fb9c94d78bdf5eb,05/31/2022,4/14/2022,2020,"95,085"
ef56ae13e3c32d11b1178381c6eed5cbe5e6dd53fe86612e5c4d46538fc32c96,05/31/2022,4/14/2022,2019,"2,616,158"
796f3e5f0fdf9918a6d3fae94d315c9c6497ceee7b812afe79ee575fbf4a2b6a,05/31/2022,4/13/2022,2022,"2,040,285"
75217da595faa3b2e6838f93b3ceedbaabad488066716efb61b1c7cad46ef1f4,05/31/2022,4/13/2022,2021,"1,152,703"
2ffb5747000f6bb75d7567123117873dca40486c0c4c34ac67959bf5d7e6c75d,05/31/2022,4/13/2022,2020,"90,784"
3ff1ca6eb2b56619c43941a3425ca8f02dfdc2407bd9c59763e08aef80263433,05/31/2022,4/13/2022,2019,"2,317,381"
46c71a995ee74b389f0bf3c77d9d45c2508aaf958e19837aef3fdaf41ca84177,05/31/2022,4/12/2022,2022,"1,883,294"
a23f441d2a695d5b96dba96b031716610844e5f54a4ba8c9d64884a091f0a4d2,05/31/2022,4/12/2022,2021,"1,085,034"
08ae6607649ff52cc0a5344f27b05944a337280dbe2ab5238577f7828c36a42b,05/31/2022,4/12/2022,2020,"87,534"
d9a52ed6d0f3a193642c0d5ef00a5eb142b9c54361f6f5b05a82e6e139aa402e,05/31/2022,4/12/2022,2019,"2,208,688"
58224eac58740359ce717ae2f25f30acd0c97d48e5b3b145db807673f7cab8d7,05/31/2022,4/11/2022,2022,"2,181,446"
770caca0e99f896eb96ae90f91992a5a44ca478aa6b49930ad3d7f8a31c50173,05/31/2022,4/11/2022,2021,"1,468,972"
269f1ace77225340cbb5bafe887473d358cc6b46abb8ed2a09ed4ee15a7ab3fd,05/31/2022,4/11/2022,2020,"102,184"
aeecc86feb122946a11598c33b42af13c39bd941affff146c69745e3953914e7,05/31/2022,4/11/2022,2019,"2,484,580"
bf1060172ac1e29112ab4b2edc8e904f15f36a96a7514cd05fae9571b559d7b2,05/31/2022,4/10/2022,2022,"2,293,548"
